*History for Amtrak ALL TRAINS at SLM (Salem, OR)
*Train #	Sch Dp	Act Dp
14	07/07/2019 1:55 PM (Su)	2:45PM
513	07/07/2019 1:36 PM (Su)	1:44PM
506	07/07/2019 10:11 AM (Su)	10:13AM
505	07/06/2019 7:11 PM (Sa)	7:36PM
508	07/06/2019 5:41 PM (Sa)	5:43PM
11	07/06/2019 3:37 PM (Sa)	3:53PM
14	07/06/2019 1:55 PM (Sa)	2:28PM
513	07/06/2019 1:36 PM (Sa)	1:53PM
506	07/06/2019 10:11 AM (Sa)	10:15AM
505	07/05/2019 7:11 PM (Fr)	7:29PM
508	07/05/2019 5:41 PM (Fr)	5:47PM
11	07/05/2019 3:37 PM (Fr)	3:44PM
14	07/05/2019 1:55 PM (Fr)	4:01PM
511	07/05/2019 10:51 AM (Fr)	11:12AM
500	07/05/2019 6:41 AM (Fr)	6:46AM
505	07/04/2019 7:11 PM (Th)	7:42PM
508	07/04/2019 5:41 PM (Th)	5:50PM
11	07/04/2019 3:37 PM (Th)	4:01PM
14	07/04/2019 1:55 PM (Th)	2:10PM
513	07/04/2019 1:36 PM (Th)	1:49PM
506	07/04/2019 10:11 AM (Th)	10:17AM
505	07/03/2019 7:11 PM (We)	7:45PM
508	07/03/2019 5:41 PM (We)	5:45PM
11	07/03/2019 3:37 PM (We)	4:46PM
14	07/03/2019 1:55 PM (We)	2:53PM
511	07/03/2019 10:51 AM (We)	10:57AM
500	07/03/2019 6:41 AM (We)	6:50AM
505	07/02/2019 7:11 PM (Tu)	7:38PM
508	07/02/2019 5:41 PM (Tu)	5:47PM
11	07/02/2019 3:37 PM (Tu)	3:51PM
14	07/02/2019 1:55 PM (Tu)	6:05PM
511	07/02/2019 10:51 AM (Tu)	10:59AM
500	07/02/2019 6:41 AM (Tu)	6:50AM
505	07/01/2019 7:11 PM (Mo)	7:46PM
508	07/01/2019 5:41 PM (Mo)	5:49PM
11	07/01/2019 3:37 PM (Mo)	4:01PM
14	07/01/2019 1:55 PM (Mo)	2:45PM
511	07/01/2019 10:51 AM (Mo)	11:22AM
500	07/01/2019 6:41 AM (Mo)	6:49AM
505	06/30/2019 7:11 PM (Su)	7:20PM
508	06/30/2019 5:41 PM (Su)	5:49PM
11	06/30/2019 3:37 PM (Su)	3:57PM
14	06/30/2019 1:55 PM (Su)	2:04PM
513	06/30/2019 1:36 PM (Su)	1:46PM
506	06/30/2019 10:11 AM (Su)	10:14AM
505	06/29/2019 7:11 PM (Sa)	7:40PM
508	06/29/2019 5:41 PM (Sa)	6:00PM
11	06/29/2019 3:37 PM (Sa)	4:06PM
14	06/29/2019 1:55 PM (Sa)	3:18PM
513	06/29/2019 1:36 PM (Sa)	1:45PM
506	06/29/2019 10:11 AM (Sa)	10:20AM
505	06/28/2019 7:11 PM (Fr)	7:23PM
508	06/28/2019 5:41 PM (Fr)	5:47PM
11	06/28/2019 3:37 PM (Fr)	3:42PM
14	06/28/2019 1:55 PM (Fr)	2:31PM
511	06/28/2019 10:51 AM (Fr)	10:59AM
500	06/28/2019 6:41 AM (Fr)	6:47AM
505	06/27/2019 7:11 PM (Th)	7:37PM
508	06/27/2019 5:41 PM (Th)	5:46PM
11	06/27/2019 3:37 PM (Th)	4:28PM
14	06/27/2019 1:55 PM (Th)	3:26PM
511	06/27/2019 10:51 AM (Th)	11:04AM
500	06/27/2019 6:41 AM (Th)	6:45AM
505	06/26/2019 7:11 PM (We)	7:44PM
508	06/26/2019 5:41 PM (We)	5:50PM
11	06/26/2019 3:37 PM (We)	4:04PM
14	06/26/2019 1:55 PM (We)	2:47PM
